numero,especie,sexo,alamm,pesogr,site,picoanchomm,picolargomm,picoaltomm,tarso,cola,mes
1,Arremon virenticeps,H,70,38.76,BMM,5.4,13.9,7.6,29,74,abril
2,Atlapetes pileatus,D,62,19.6,BMM,5.8,11.8,5.8,23.1,NA,abril
3,Atlapetes pileatus,D,62,19.2,BMM,5.6,11.6,6,22.2,66,abril
4,Baeolophus wollweberi,D,64,NA,BQ,4,8.2,4,16.5,56,abril
5,Basilinna leucotis,H,55,3.2,BMM,3.9,16.2,1.6,26,30,abril
6,Basilinna leucotis,H,54,3.2,BMM,4,16.6,1.3,26,30,abril
7,Basilinna leucotis,H,56,3.4,BMM,4.1,17.5,1.8,26,31,abril
8,Basilinna leucotis,M,53,3.5,BMM,4,14.2,2.2,26,32,abril
9,Basilinna leucotis,H,56,3.6,BMM,3.7,16.3,1.7,26,32,abril
10,Cardellina pusilla,M,56,7.3,BQ,3.7,8.6,2.9,7.7,52,abril
11,Catharus aurantiirostris,D,67,23.8,BQ,5.4,10,2,32.9,21,abril
12,Catharus aurantiirostris,H,70.2,26.5,BQ,4.5,13.7,4.5,31.4,63,abril
13,Catharus aurantiirostris,M,86,27.8,BQ,5.2,13.1,4.8,27.4,62,abril
14,Catharus aurantiirostris,D,84,29.2,RIO,4,10.2,4.1,33.3,65,abril
15,Catharus occidentalis,D,80,24.5,BMM,4.8,13,4.2,31.8,69,abril
16,Catharus occidentalis,D,87,26.7,BMM,4.1,13.9,5,32.6,77,abril
17,Catharus occidentalis,D,NA,26.9,BMM,4.8,14,4,31.8,NA,abril
18,Catharus occidentalis,M,89,28.89,BMM,4.8,11,4.4,30.6,83,abril
19,Catharus ustulatus,D,93,35,BMM,5,15.2,4.2,28.9,69,abril
20,Contopus pertinax,D,109,23.4,RIO,NA,NA,NA,12.125,NA,abril
21,Contopus pertinax,D,97,21.6,BQ,8.2,16.9,5.4,6.8,79,abril
22,Contopus pertinax,D,101,23.8,BQ,8.4,18,5.3,7.2,78,abril
23,Contopus pertinax,D,110,25.6,BQ,7.4,17,5.8,16.4,83,abril
24,Contopus pertinax,D,105,24,BQ,8.4,18.4,5.3,18.1,85,abril
25,Empidonax fulvifrons,D,50,7.1,BQ,NA,NA,NA,14.08,NA,abril
26,Empidonax occidentalis,D,68,11.5,BMM,5.6,10.1,3.8,7.4,58,abril
27,Empidonax occidentalis,D,64,11.4,BMM,5.4,11.1,3.3,16.8,58,abril
28,Empidonax occidentalis,D,70,12,BMM,NA,NA,NA,18.2,62,abril
29,Empidonax occidentalis,D,69,10.8,BQ,5.6,11.2,3.4,7,60,abril
30,Empidonax occidentalis,D,62,10.8,BQ,6,9.8,3.6,7.9,57,abril
31,Empidonax occidentalis,D,64,12,BMM,5.9,10,3.4,16.9,58,abril
32,Empidonax occidentalis,D,68,NA,BMM,5.3,11.3,3.3,17.2,60,abril
33,empidonax sp..,D,67,11.4,RIO,6,8.8,3.5,16,60,abril
34,Eugenes fulgens,H,73,7.1,BMM,3.9,28.9,2.5,14.1,39,abril
35,Eugenes fulgens,M,73,7.7,BMM,2.8,25,2,14.3,41,abril
36,Eugenes fulgens,H,69,7,BMM,3,29.2,2.4,14.1,38,abril
37,Junco phaeonotus,D,75,18.2,PINO,3.2,9.1,6.2,8.9,70,abril
38,Melanotis caerulescens,D,114,61.9,BMM,5.4,25.9,6.4,30,127,abril
39,Melanotis caerulescens,D,110,56.5,BMM,5.6,24.3,5.8,30.5,118,abril
40,Mitrephanes phaeocercus,D,44.9,7.8,BQ,NA,NA,NA,2.5,NA,abril
41,Mitrephanes phaeocercus,D,69,7.6,BQ,4.9,7.1,2.7,2.5,NA,abril
42,Myadestes occidentalis,D,102.5,38.1,PINO,17.2,13,14.2,15,52,abril
43,Myiarchus tuberculifer,D,80,17.8,BMM,6.8,16.7,4.8,19.6,76,abril
44,Myioborus miniatus,D,61,8,BMM,4.7,8.8,3.2,18.2,70,abril
45,Myioborus miniatus,M,65,NA,BMM,4.1,8.2,NA,17.62,67,abril
46,Myioborus miniatus,M,76,8.2,BMM,4.3,8.2,3,18.6,71,abril
47,Myioborus miniatus,D,59,7.5,BMM,4.4,8,2.8,17.2,67,abril
48,Myioborus miniatus,D,60,7.7,BQ,4.1,7.8,2.9,17.9,76,abril
49,Myioborus miniatus,D,60,7.5,BMM,4.4,8.9,2.8,18.7,64,abril
50,Oreothlypis superciliosa,D,63,8.7,BMM,13.6,11.1,3.5,16.3,48,abril
51,Parkesia motacilla,D,80,18.1,RIO,4,10.6,7.7,23.3,51,abril
52,Parkesia motacilla,D,77,15.7,RIO,3,9.1,3.9,23.1,49,abril
53,Parkesia motacilla,D,79,18.82,BQ,4.2,11.9,4.2,23.4,50,abril
54,Pipilo ocai,D,90,48.95,BMM,6,11.4,8.9,31.7,72,abril
55,Pipilo ocai,M,94,50.76,BMM,7,13,8.9,30.8,78,abril
56,Piranga bidentata,M,94,35.1,BMM,8.7,17.2,8.2,21.5,76,abril
57,Piranga bidentata,H,94,39.8,BMM,8.8,17.7,8.3,20.7,79,abril
58,Piranga erythrocephala,H,70,18.3,BMM,8.4,11.2,6.6,20.2,63,abril
59,Saucerottia beryllina,H,56,4.8,BMM,4.1,17.5,1.8,12.5,31,abril
60,Seiurus aurocapilla,D,77,17.75,RIO,NA,NA,NA,22.29,NA,abril
61,Thryomanes bewickii,D,59,14.63,BMM,3.5,11.4,4,21.2,41,abril
62,Thryophilus sinaloa,D,62.5,16.87,RIO,NA,NA,NA,18.8,NA,abril
63,Thryophilus sinaloa,D,58,15.7,RIO,3,9.1,3.9,22.1,43,abril
64,Troglodytes aedon,D,52,12.8,RIO,2.8,11.4,3.4,17.8,41,abril
65,Troglodytes aedon,P,52,12,RIO,3.3,7.5,2.8,19.3,42,abril
66,Troglodytes aedon,D,53,13.1,RIO,3.5,10.3,3.1,17.5,42,abril
67,Troglodytes aedon,D,52,12.4,RIO,3.3,10,3.5,20.2,41,abril
68,Troglodytes aedon,D,NA,NA,RIO,NA,NA,NA,18.7,NA,abril
69,Turdus assimilis,D,121,75.2,BMM,6.8,21.6,5.6,32.4,100,abril
70,Xiphorhynchus flavigaster,H,112,28.4,RIO,NA,NA,NA,23,NA,abril
71,Troglodytes aedon,D,52,12.8,RIO,2.8,11.4,3.4,17.8,41,agosto
72,Troglodytes aedon,P,52,12,RIO,3.3,7.5,2.8,19.3,42,agosto
73,Troglodytes aedon,D,53,13.1,RIO,3.5,10.3,3.1,17.5,42,agosto
74,Troglodytes aedon,D,52,12.4,RIO,3.3,10,3.5,20.2,41,agosto
75,empidonax sp.,D,67,11.4,RIO,6,8.8,3.5,16,60,agosto
76,Arremon virenticeps,H,70,38.76,BMM,5.4,13.9,7.6,29,74,agosto
77,Arremon virenticeps,NA,NA,NA,NA,NA,NA,NA,28.9,NA,agosto
78,Catharus aurantiirostris,D,67,23.8,BQ,5.4,10,2,32.9,21,agosto
79,Catharus aurantiirostris,H,70.2,26.5,BQ,4.5,13.7,4.5,31.4,63,agosto
